"Name,""Source"",""Page"",""Rarity"",""Type"",""Attunement"",""Damage"",""Properties"",""Mastery"",""Weight"",""Value"",""Text""";;;;;;;;;;;;;;;;;;;;
"+1 Cinturón de piel de dragón,""FTD"",""23"",""poco común"",""Objeto maravilloso"",""Requiere sintonización por parte de un monje"","""","""","""","""","""",""Este cinturón finamente detallado está hecho de piel de dragón. Mientras lo usas, obtienes una bonificación de +1 a las CD de las tiradas de salvación de tus características de ki. Además, puedes utilizar una acción para recuperar puntos de ki equivalentes a una tirada de tu dado de Artes Marciales. No podrás volver a utilizar esta acción hasta el siguiente amanecer.""";;;;;;;;;;;;;;;;;;;;
"+1 mazo del repartidor de destino,""BMT"",""61"",""extraño"",""Objeto maravilloso"",""Requiere sintonización por parte de un clérigo o paladín"","""","""","""","""","""",""El reverso de estas cartas está inscrito con glifos que representan los planos interiores, los planos exteriores o los símbolos sagrados de varias deidades. Mientras sostienes este mazo, puedes usarlo como un foco de lanzamiento de hechizos y obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a tu CD de salvación de hechizos.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Además, mientras sostienes el mazo, puedes robar una carta como acción para gastar y tirar uno de tus Dados de Golpe y agregar la bonificación del mazo al número obtenido. Una criatura que puedas ver a 30 pies de ti sufre daño radiante o recupera puntos de vida (tú eliges) iguales al total.""";;;;;;;;;;;;;;;;;;;;
"+1 Hoz Lunar,""TCE"",""133"",""poco común"",""Arma (hoz), arma simple, arma cuerpo a cuerpo"",""Requiere sintonización por parte de un druida o guardabosques"",""1d4 Cortante"",""luz"","""",""2 lb."","""",""Esta hoz de hoja plateada brilla suavemente con la luz de la luna. Mientras sostienes esta arma mágica, obtienes una bonificación de +1 a las tiradas de ataque y daño realizadas con ella, y obtienes una bonificación de +1 a las tiradas de ataque de hechizos y las CD de las tiradas de salvación de tus hechizos de druida y explorador. Además, puedes usar la hoz como foco de lanzamiento de hechizos para tus hechizos de druida y guardabosques.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Cuando lanzas un hechizo que restaura los puntos de vida, puedes tirar un d4 y sumar el número obtenido a la cantidad de puntos de vida restaurados, siempre que estés sosteniendo la hoz.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Luz. Un arma ligera es pequeña y fácil de manejar, lo que la hace ideal para usar cuando se lucha con dos armas.""";;;;;;;;;;;;;;;;;;;;
"+1 tambor de ritmo,""TCE"",""134"",""poco común"",""Objeto maravilloso, instrumento (tambor)"",""Requiere sintonización por parte de un bardo"","""","""","""",""3 lb."","""",""Mientras sostienes este tambor, obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de bardo.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Como acción, puedes tocar el tambor para recuperar un uso de tu función Bardic Inspiration. Esta propiedad del tambor no se puede volver a utilizar hasta el siguiente amanecer.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Si tienes competencia con un instrumento musical determinado, puedes agregar tu bonificación de competencia a cualquier prueba de habilidad que realices para tocar música con el instrumento. Un bardo puede utilizar un instrumento musical como foco de lanzamiento de hechizos. Cada tipo de instrumento musical requiere un dominio distinto.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Consulte la entrada Competencias en herramientas para obtener más información.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
El dominio de un instrumento musical indica que está familiarizado con las técnicas utilizadas para tocarlo. También tienes conocimiento de algunas canciones comúnmente interpretadas con ese instrumento.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Historia. Tu experiencia te ayuda a recordar la tradición relacionada con tu instrumento.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Actuación. Tu capacidad para dar un buen espectáculo mejora cuando incorporas un instrumento a tu acto.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Componer una melodía. Como parte de un largo descanso, puedes componer una nueva melodía y letra para tu instrumento. Podrías utilizar esta habilidad para impresionar a un noble o difundir rumores escandalosos con una melodía pegadiza.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Instrumento musicalActividadDCIdentificar una melodía10Improvisar una melodía20""";;;;;;;;;;;;;;;;;;;;
"+1 Vara del Guardián del Pacto,""DMG'24"",""301"",""poco común"",""Vara"",""Requiere sintonización por parte de un brujo"","""","""","""",""2 lb."","""",""Mientras sostienes esta vara, obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de brujo.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Además, puedes recuperar un espacio de hechizo como acción mágica mientras sostienes la vara. No puedes volver a usar esta propiedad hasta que termines un Descanso Largo.""";;;;;;;;;;;;;;;;;;;;
"+1 Escudo (*),""DMG'24"",""303"",""poco común"",""Variante genérica"","""","""","""","""","""","""",""* Esta variante genérica tiene el mismo nombre y origen que el elemento +1 Escudo.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Mientras sostienes este escudo, tienes una bonificación de +1 a la clase de armadura, además de la bonificación normal del escudo a la CA.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Escudo (+1 Escudo)""";;;;;;;;;;;;;;;;;;;;
"+1 Varita del mago de guerra,""DMG'24"",""322"",""poco común"",""Varita mágica"",""Requiere sintonización por parte de un lanzador de conjuros"","""","""","""",""1 lb."","""",""Mientras sostienes esta varita, obtienes una bonificación de +1 a las tiradas de ataque con hechizos. Además, ignoras la Media Cobertura cuando haces una tirada de ataque con hechizos.""";;;;;;;;;;;;;;;;;;;;
"+1 arma,""DMG'24"",""324"",""poco común"",""Variante genérica"","""","""","""","""","""","""",""Tienes una bonificación de +1 a las tiradas de ataque y daño realizadas con esta arma mágica.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Rifle de antimateria (+1 rifle de antimateria)Rifle automático (+1 rifle automático)Hacha de batalla (+1 Hacha de batalla)Cerbatana (+1 Cerbatana)Club (+1 Club)Daga (+1 Daga)Dardo (+1 Dardo)Cimitarra de doble hoja (+1 Cimitarra de doble hoja)Mayal (+1 Mayal)Guja (+1 Guja)Gran hacha (+1 Gran hacha)Gran garrote (+1) Gran garrote)Espada magna (+1 Espada magna)Alabarda (+1 Alabarda)Ballesta de mano (+1 Ballesta de mano)Hacha de mano (+1 Hacha de mano)Ballesta pesada (+1 Ballesta pesada)Lanza corta con gancho (+1 Lanza corta con gancho)Hoopak (+1 Hoopak)Rifle de caza (+1 rifle de caza)Jabalina (+1 Jabalina)Lanza (+1 Lanza)Pistola láser (+1 Láser) Pistola)Rifle láser (+1 rifle láser)Ballesta ligera (+1 Ballesta ligera)Martillo ligero (+1 Martillo ligero)Ballesta ligera de repetición (+1 Ballesta ligera de repetición)Arco largo (+1 arco largo)Espada larga (+1 espada larga)Maza (+1 maza)Mazo (+1 mazo)Estrella de la mañana (+1 Estrella de la mañana)Musquete (+1 mosquete)Pica (+1 pica)Pistola (+1 pistola)Cuartel (+1 Quarterstaff)Estoque (+1 Estoque)Revólver (+1 Revólver)Cimitarra (+1 Cimitarra)Pistola semiautomática (+1 Pistola semiautomática)Arco corto (+1 Arco corto)Espada corta (+1 Espada corta)Escopeta (+1 Escopeta)Hoz (+1 Hoz)Honda (+1 Honda)Lanza (+1 Lanza)Tridente (+1 Tridente)Pico de guerra (+1 Guerra Elegir)Warhammer (+1 Warhammer)Látigo (+1 Látigo)Yklwa (+1 Yklwa)""";;;;;;;;;;;;;;;;;;;;
"+1 Arma (sin daño),""DMG'14"",""213"",""poco común"",""Variante genérica"","""","""","""","""","""","""",""Tienes un bono de +1 a las tiradas de ataque realizadas con esta arma.""";;;;;;;;;;;;;;;;;;;;
"+1 envolturas de poder desarmado,""DMG'24"",""325"",""poco común"",""Objeto maravilloso"","""","""","""","""","""","""",""Mientras usas estas envolturas, tienes una bonificación de +1 a las tiradas de ataque y de daño realizadas con tus golpes desarmados. Esos ataques causan tu elección de daño de Fuerza o su tipo de daño normal.""";;;;;;;;;;;;;;;;;;;;
"+2 herramienta multiusos,""TCE"",""119"",""extraño"",""Objeto maravilloso, enfoque de lanzamiento de hechizos"",""Requiere sintonización por parte de un artificiero"","""","""","""","""","""",""Este sencillo destornillador puede transformarse en una variedad de herramientas";" como acción, puedes tocar el objeto y transformarlo en cualquier tipo de herramienta artesanal de tu elección (consulta el capítulo """"Equipo"""" en el Manual del jugador para obtener una lista de herramientas artesanales). Cualquiera que sea la forma que adopte la herramienta, usted la domina.";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Mientras sostienes esta herramienta, obtienes una bonificación de +2 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de artificiero.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Como acción, puedes centrarte en la herramienta para canalizar tus fuerzas creativas. Elige un truco que no conozcas de ninguna lista de clases. Durante 8 horas, puedes lanzar ese truco y cuenta como un truco de artificiero para ti. Una vez que se usa esta propiedad, no se puede volver a usar hasta el siguiente amanecer.""";;;;;;;;;;;;;;;;;;;;
"+2 Munición,""DMG'24"",""228"",""extraño"",""Municiones, variante genérica"","""","""","""","""","""","""",""Tienes una bonificación de +2 a las tiradas de ataque y daño realizadas con esta munición mágica. Una vez que alcanza un objetivo, la munición deja de ser mágica.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Esta munición suele encontrarse o venderse en cantidades de diez o veinte piezas. Diez piezas de esta munición equivalen en valor a una poción de la misma rareza (2000 GP).;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Flecha (+2 Flecha)Perno (+2 Perno)Célula de energía (+2 Celda de energía)Bala de arma de fuego (+2 Bala de arma de fuego)Aguja (+2 Aguja)Bala de honda (+2 Bala de honda)""";;;;;;;;;;;;;;;;;;;;
"+2 Amuleto del Devoto,""TCE"",""119"",""extraño"",""Objeto maravilloso"",""Requiere sintonización por parte de un clérigo o paladín"","""","""","""",""1 lb."","""",""Este amuleto lleva el símbolo de una deidad con incrustaciones de piedras o metales preciosos. Mientras usas el símbolo sagrado, obtienes una bonificación de +2 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Mientras usas este amuleto, puedes usar tu función Canalizar Divinidad sin gastar uno de los usos de la función. Una vez que se usa esta propiedad, no se puede volver a usar hasta el siguiente amanecer.""";;;;;;;;;;;;;;;;;;;;
"+2 Grimorio Arcano,""TCE"",""120"",""extraño"",""Objeto maravilloso, enfoque de lanzamiento de hechizos"",""Requiere sintonización por parte de un mago"","""","""","""",""3 lb."","""",""Mientras sostienes este libro encuadernado en cuero, puedes usarlo como foco de lanzamiento de hechizos para tus hechizos de mago, y obtienes una bonificación de +2 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de mago.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Puedes utilizar este libro como libro de hechizos. Además, cuando usas tu función de Recuperación Arcana, puedes aumentar en 1 el número de niveles de espacios de hechizo que recuperas.""";;;;;;;;;;;;;;;;;;;;
"+2 Armadura,""DMG'24"",""230"",""muy raro"",""Variante genérica"","""","""","""","""","""","""",""Tienes una bonificación de +2 a la CA mientras usas esta armadura.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Coraza (+2 Coraza)Cota de malla (+2 Cota de malla)Camisa de cota de malla (+2 Camisa de cota)Media armadura de placas (+2 Media armadura de placas)Armadura de piel (+2 Armadura de piel)Armadura de cuero (+2 Armadura de cuero)Armadura acolchada (+2 Armadura acolchada)Armadura de placas (+2 Armadura de placas)Cota de anillos (+2 Cota de malla)Cota de escamas (+2 Cota de malla)Armadura de férula (+2 Armadura de férula)Armadura de cuero con tachuelas (+2 Cuero con tachuelas) Armadura)""";;;;;;;;;;;;;;;;;;;;
"+2 Vial de Pozo de Sangre,""TCE"",""122"",""extraño"",""Objeto maravilloso, enfoque de lanzamiento de hechizos"",""Requiere sintonización por parte de un hechicero"","""","""","""","""","""",""Para sintonizar con este vial, debes colocar unas gotas de tu sangre en él. El vial no se puede abrir mientras dure tu sintonización con él. Si tu sintonización con el vial termina, la sangre contenida se convierte en cenizas. Puedes usar el frasco como foco de lanzamiento de hechizos mientras lo usas o lo sostienes, y obtienes una bonificación de +2 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de hechicero.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Además, cuando lanzas cualquier Dado de Golpe para recuperar puntos de golpe mientras llevas el frasco, puedes recuperar 5 puntos de hechicería. Esta propiedad del vial no se puede volver a utilizar hasta el siguiente amanecer.""";;;;;;;;;;;;;;;;;;;;
"+2 Cinturón de piel de dragón,""FTD"",""23"",""extraño"",""Objeto maravilloso"",""Requiere sintonización por parte de un monje"","""","""","""","""","""",""Este cinturón finamente detallado está hecho de piel de dragón. Mientras lo usas, obtienes una bonificación de +2 a las CD de las tiradas de salvación de tus características de ki. Además, puedes utilizar una acción para recuperar puntos de ki equivalentes a una tirada de tu dado de Artes Marciales. No podrás volver a utilizar esta acción hasta el siguiente amanecer.""";;;;;;;;;;;;;;;;;;;;
"+2 Mazo del Distribuidor de Destino,""BMT"",""61"",""muy raro"",""Objeto maravilloso"",""Requiere sintonización por parte de un clérigo o paladín"","""","""","""","""","""",""El reverso de estas cartas está inscrito con glifos que representan los planos interiores, los planos exteriores o los símbolos sagrados de varias deidades. Mientras sostienes este mazo, puedes usarlo como un foco de lanzamiento de hechizos y obtienes una bonificación de +2 a las tiradas de ataque de hechizos y a tu CD de salvación de hechizos.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Además, mientras sostienes el mazo, puedes robar una carta como acción para gastar y tirar uno de tus Dados de Golpe y agregar la bonificación del mazo al número obtenido. Una criatura que puedas ver a 30 pies de ti sufre daño radiante o recupera puntos de vida (tú eliges) iguales al total.""";;;;;;;;;;;;;;;;;;;;
"+2 Hoz Lunar,""TCE"",""133"",""extraño"",""Arma (hoz), arma simple, arma cuerpo a cuerpo"",""Requiere sintonización por parte de un druida o guardabosques"",""1d4 Cortante"",""luz"","""",""2 lb."","""",""Esta hoz de hoja plateada brilla suavemente con la luz de la luna. Mientras sostienes esta arma mágica, obtienes una bonificación de +2 a las tiradas de ataque y daño realizadas con ella, y obtienes una bonificación de +2 a las tiradas de ataque de hechizos y las CD de las tiradas de salvación de tus hechizos de druida y explorador. Además, puedes usar la hoz como foco de lanzamiento de hechizos para tus hechizos de druida y guardabosques.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Cuando lanzas un hechizo que restaura los puntos de vida, puedes tirar un d4 y sumar el número obtenido a la cantidad de puntos de vida restaurados, siempre que estés sosteniendo la hoz.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Luz. Un arma ligera es pequeña y fácil de manejar, lo que la hace ideal para usar cuando se lucha con dos armas.""";;;;;;;;;;;;;;;;;;;;
"+2 Tambor del creador de ritmos,""TCE"",""134"",""extraño"",""Objeto maravilloso, instrumento (tambor)"",""Requiere sintonización por parte de un bardo"","""","""","""",""3 lb."","""",""Mientras sostienes este tambor, obtienes una bonificación de +2 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de bardo.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Como acción, puedes tocar el tambor para recuperar un uso de tu función Bardic Inspiration. Esta propiedad del tambor no se puede volver a utilizar hasta el siguiente amanecer.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Si tienes competencia con un instrumento musical determinado, puedes agregar tu bonificación de competencia a cualquier prueba de habilidad que realices para tocar música con el instrumento. Un bardo puede utilizar un instrumento musical como foco de lanzamiento de hechizos. Cada tipo de instrumento musical requiere un dominio distinto.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Consulte la entrada Competencias en herramientas para obtener más información.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
El dominio de un instrumento musical indica que está familiarizado con las técnicas utilizadas para tocarlo. También tienes conocimiento de algunas canciones comúnmente interpretadas con ese instrumento.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Historia. Tu experiencia te ayuda a recordar la tradición relacionada con tu instrumento.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Actuación. Tu capacidad para dar un buen espectáculo mejora cuando incorporas un instrumento a tu acto.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Componer una melodía. Como parte de un largo descanso, puedes componer una nueva melodía y letra para tu instrumento. Podrías utilizar esta habilidad para impresionar a un noble o difundir rumores escandalosos con una melodía pegadiza.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Instrumento musicalActividadDCIdentificar una melodía10Improvisar una melodía20""";;;;;;;;;;;;;;;;;;;;
"+2 Vara del Guardián del Pacto,""DMG'24"",""301"",""extraño"",""Vara"",""Requiere sintonización por parte de un brujo"","""","""","""",""2 lb."","""",""Mientras sostienes esta vara, obtienes una bonificación de +2 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de brujo.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Además, puedes recuperar un espacio de hechizo como acción mágica mientras sostienes la vara. No puedes volver a usar esta propiedad hasta que termines un Descanso Largo.""";;;;;;;;;;;;;;;;;;;;
"+2 Escudo (*),""DMG'24"",""303"",""extraño"",""Variante genérica"","""","""","""","""","""","""",""* Esta variante genérica tiene el mismo nombre y origen que el elemento +2 Escudo.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Mientras sostienes este escudo, tienes una bonificación de +2 a la clase de armadura, además de la bonificación normal del escudo a la CA.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Escudo (+2 Escudo)""";;;;;;;;;;;;;;;;;;;;
"+2 Varita del mago de guerra,""DMG'24"",""322"",""extraño"",""Varita mágica"",""Requiere sintonización por parte de un lanzador de conjuros"","""","""","""",""1 lb."","""",""Mientras sostienes esta varita, obtienes una bonificación de +2 a las tiradas de ataque con hechizos. Además, ignoras la Media Cobertura cuando haces una tirada de ataque con hechizos.""";;;;;;;;;;;;;;;;;;;;
"+2 Arma,""DMG'24"",""324"",""extraño"",""Variante genérica"","""","""","""","""","""","""",""Tienes una bonificación de +2 a las tiradas de ataque y daño realizadas con esta arma mágica.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Rifle de antimateria (+2 Rifle de antimateria)Rifle automático (+2 Rifle automático)Hacha de batalla (+2 Hacha de batalla)Cerbatana (+2 Cerbatana)Club (+2 Club)Daga (+2 Daga)Dardo (+2 Dardo)Cimitarra de doble hoja (+2 Cimitarra de doble hoja)Mayal (+2 Mayal)Guja (+2 Guja)Gran hacha (+2 Gran hacha)Gran garrote (+2) Gran garrote)Espada magna (+2 Espada magna)Alabarda (+2 Alabarda)Ballesta de mano (+2 Ballesta de mano)Hacha de mano (+2 Hacha de mano)Ballesta pesada (+2 Ballesta pesada)Lanza corta con gancho (+2 Lanza corta con gancho)Hoopak (+2 Hoopak)Rifle de caza (+2 Rifle de caza)Jabalina (+2 Jabalina)Lanza (+2 Lanza)Pistola láser (+2 Láser) Pistola)Rifle láser (+2 rifle láser)Ballesta ligera (+2 Ballesta ligera)Martillo ligero (+2 Martillo ligero)Ballesta ligera de repetición (+2 Ballesta ligera de repetición)Arco largo (+2 Arco largo)Espada larga (+2 Espada larga)Maza (+2 Maza)Mazo (+2 Maul)Morningstar (+2 Morningstar)Musquete (+2 Mosquete)Pica (+2 Pica)Pistola (+2 Pistola)Cuartel (+2 Quarterstaff)Estoque (+2 Estoque)Revólver (+2 Revólver)Cimitarra (+2 Cimitarra)Pistola semiautomática (+2 Pistola semiautomática)Arco corto (+2 Arco corto)Espada corta (+2 Espada corta)Escopeta (+2 Escopeta)Hoz (+2 Hoz)Honda (+2 Honda)Lanza (+2 Lanza)Tridente (+2 Tridente)Pico de guerra (+2 Guerra Elegir)Warhammer (+2 Warhammer)Látigo (+2 Látigo)Yklwa (+2 Yklwa)""";;;;;;;;;;;;;;;;;;;;
"+2 Arma (sin daño),""DMG'14"",""213"",""extraño"",""Variante genérica"","""","""","""","""","""","""",""Tienes un bono de +2 a las tiradas de ataque realizadas con esta arma.""";;;;;;;;;;;;;;;;;;;;
"+2 envolturas de poder desarmado,""DMG'24"",""325"",""extraño"",""Objeto maravilloso"","""","""","""","""","""","""",""Mientras usas estas envolturas, tienes una bonificación de +2 a las tiradas de ataque y de daño realizadas con tus golpes desarmados. Esos ataques causan tu elección de daño de Fuerza o su tipo de daño normal.""";;;;;;;;;;;;;;;;;;;;
